id_itens,data_compra,status_id,from_iata,to_iata,tipo_viagem,data_ida,data_volta,valor_passagem,milhas_usadas,adultos,criancas,mes_compra,dia_semana_compra,usa_milhas,passageiros_total,status,iata,is_mercosul
1,2019-08-01,1,GIG,MCO,Ida e volta,2019-08-04 22:05:00,2019-09-09 19:25:00,3329.78002929687,0,1,0,2019-08,Thursday,False,1,Transacao emitida,GIGMCO,0
2,2019-08-02,2,GIG,MIA,Ida e volta,2019-08-04 22:05:00,2019-08-18 19:00:00,2677.56005859374,0,1,0,2019-08,Friday,False,1,Transacao cancelada,GIGMIA,0
3,2019-08-02,2,GIG,SCL,Somente ida,2019-08-05 10:55:00,,1812.34997558593,0,3,0,2019-08,Friday,False,3,Transacao cancelada,GIGSCL,1
4,2019-08-02,1,GIG,SCL,Somente ida,2019-08-05 10:55:00,,1812.34997558593,0,3,0,2019-08,Friday,False,3,Transacao emitida,GIGSCL,1
5,2019-08-03,2,IOS,GIG,Somente ida,2019-08-05 15:50:00,,646.270019531249,0,1,0,2019-08,Saturday,False,1,Transacao cancelada,IOSGIG,1
6,2019-08-05,1,GIG,BOG,Somente ida,2019-08-07 06:30:00,,2535.85009765624,0,2,0,2019-08,Monday,False,2,Transacao emitida,GIGBOG,1
7,2019-08-06,1,GIG,MIA,Somente ida,2019-08-07 20:40:00,,1860.77001953125,40000,1,0,2019-08,Tuesday,True,1,Transacao emitida,GIGMIA,0
8,2019-08-06,1,GIG,SCL,Ida e volta,2019-08-07 23:00:00,2019-08-08 15:45:00,2355.84008789062,68500,1,0,2019-08,Tuesday,True,1,Transacao emitida,GIGSCL,1
9,2019-08-06,1,GIG,LIS,Somente ida,2019-08-09 15:40:00,,2383.89990234375,79000,1,0,2019-08,Tuesday,True,1,Transacao emitida,GIGLIS,0
10,2019-08-01,1,EZE,GIG,Somente ida,2019-08-09 17:15:00,,1412.54003906249,32400,2,0,2019-08,Thursday,True,2,Transacao emitida,EZEGIG,1
11,2019-08-06,1,GIG,SCL,Somente ida,2019-08-09 23:00:00,,773.150024414062,16500,1,0,2019-08,Tuesday,True,1,Transacao emitida,GIGSCL,1
12,2019-08-06,1,GIG,IOS,Somente ida,2019-08-10 06:00:00,,480.850006103515,0,1,0,2019-08,Tuesday,False,1,Transacao emitida,GIGIOS,1
13,2019-08-05,1,GIG,SCL,Somente ida,2019-08-10 17:10:00,,673.200012207031,21000,1,0,2019-08,Monday,True,1,Transacao emitida,GIGSCL,1
14,2019-08-07,4,GIG,LIS,Ida e volta,2019-08-10 22:20:00,2019-11-04 14:25:00,2910.44995117187,0,1,0,2019-08,Wednesday,False,1,Aguardando cancelamento de ticket,GIGLIS,0
15,2019-08-07,1,GIG,LIS,Somente ida,2019-08-11 21:10:00,,2383.89990234375,79000,1,0,2019-08,Wednesday,True,1,Transacao emitida,GIGLIS,0
16,2019-08-10,2,GIG,LIS,Somente ida,2019-08-11 22:10:00,,1688.52001953125,45500,1,0,2019-08,Saturday,True,1,Transacao cancelada,GIGLIS,0
17,2019-08-01,2,GIG,LIS,Somente ida,2019-08-11 23:15:00,,4590.27978515625,0,2,0,2019-08,Thursday,False,2,Transacao cancelada,GIGLIS,0
18,2019-08-01,1,GIG,BOG,Somente ida,2019-08-12 06:30:00,,1042.98999023437,0,1,0,2019-08,Thursday,False,1,Transacao emitida,GIGBOG,1
19,2019-08-05,1,GIG,LIS,Ida e volta,2019-08-12 15:25:00,2019-08-27 10:35:00,2674.64990234375,0,1,0,2019-08,Monday,False,1,Transacao emitida,GIGLIS,0
20,2019-08-08,1,GIG,IOS,Somente ida,2019-08-13 09:35:00,,1878.5,0,3,1,2019-08,Thursday,False,4,Transacao emitida,GIGIOS,1
21,2019-08-11,2,LIS,GIG,Somente ida,2019-08-13 14:20:00,,1673.15002441406,45500,1,0,2019-08,Sunday,True,1,Transacao cancelada,LISGIG,1
22,2019-08-10,1,GIG,EZE,Ida e volta,2019-08-13 18:00:00,2019-09-10 11:10:00,1223.81005859375,23100,1,0,2019-08,Saturday,True,1,Transacao emitida,GIGEZE,1
23,2019-08-12,1,GIG,LIS,Somente ida,2019-08-13 22:10:00,,1695.61999511718,45500,1,0,2019-08,Monday,True,1,Transacao emitida,GIGLIS,0
24,2019-08-12,2,GIG,LIS,Somente ida,2019-08-13 22:10:00,,1689.10998535156,45500,1,0,2019-08,Monday,True,1,Transacao cancelada,GIGLIS,0
25,2019-08-12,1,LIS,GIG,Somente ida,2019-08-13 23:30:00,,85.0899963378906,99500,1,0,2019-08,Monday,True,1,Transacao emitida,LISGIG,1
26,2019-08-05,1,EZE,GIG,Somente ida,2019-08-14 02:45:00,,717.940002441406,16200,1,0,2019-08,Monday,True,1,Transacao emitida,EZEGIG,1
27,2019-08-05,2,GIG,BOG,Somente ida,2019-08-14 06:30:00,,2535.85009765624,0,2,0,2019-08,Monday,False,2,Transacao cancelada,GIGBOG,1
28,2019-08-13,2,LIS,GIG,Somente ida,2019-08-14 12:10:00,,3859.28002929687,91000,2,0,2019-08,Tuesday,True,2,Transacao cancelada,LISGIG,1
29,2019-08-13,2,LIS,GIG,Somente ida,2019-08-14 14:20:00,,1676.90002441406,45500,1,0,2019-08,Tuesday,True,1,Transacao cancelada,LISGIG,1
30,2019-08-12,2,LIS,GIG,Somente ida,2019-08-14 14:20:00,,3332.09008789062,91000,2,0,2019-08,Monday,True,2,Transacao cancelada,LISGIG,1
31,2019-08-13,2,LIS,GIG,Somente ida,2019-08-14 14:20:00,,1656.72998046874,45500,1,0,2019-08,Tuesday,True,1,Transacao cancelada,LISGIG,1
32,2019-08-13,2,LIS,GIG,Somente ida,2019-08-14 14:20:00,,1674.08996582031,45500,1,0,2019-08,Tuesday,True,1,Transacao cancelada,LISGIG,1
33,2019-08-04,2,EZE,GIG,Somente ida,2019-08-14 15:40:00,,2600.69995117187,76000,2,0,2019-08,Sunday,True,2,Transacao cancelada,EZEGIG,1
34,2019-08-11,1,LIS,GIG,Ida e volta,2019-08-14 23:30:00,2019-09-12 21:10:00,12604.7695312499,357000,2,0,2019-08,Sunday,True,2,Transacao emitida,LISGIG,1
35,2019-08-14,1,LIS,GIG,Somente ida,2019-08-15 12:05:00,,2386.17993164062,79000,1,0,2019-08,Wednesday,True,1,Transacao emitida,LISGIG,1
36,2019-08-13,2,LIS,GIG,Somente ida,2019-08-15 16:30:00,,1689.15002441406,45500,1,0,2019-08,Tuesday,True,1,Transacao cancelada,LISGIG,1
37,2019-08-12,2,GIG,SCL,Somente ida,2019-08-15 17:10:00,,1259.07995605468,42000,2,0,2019-08,Monday,True,2,Transacao cancelada,GIGSCL,1
38,2019-08-12,2,GIG,SCL,Somente ida,2019-08-15 17:10:00,,1259.07995605468,42000,2,0,2019-08,Monday,True,2,Transacao cancelada,GIGSCL,1
39,2019-08-14,1,GIG,SCL,Ida e volta,2019-08-16 06:35:00,2019-08-23 10:20:00,5443.00976562499,0,2,1,2019-08,Wednesday,False,3,Transacao emitida,GIGSCL,1
40,2019-08-05,2,GIG,LIS,Ida e volta,2019-08-16 15:40:00,2019-09-10 23:30:00,4996.18017578124,158000,1,0,2019-08,Monday,True,1,Transacao cancelada,GIGLIS,0
41,2019-08-14,1,GIG,MCO,Somente ida,2019-08-18 13:55:00,,1888.64001464843,51000,1,0,2019-08,Wednesday,True,1,Transacao emitida,GIGMCO,0
42,2019-08-07,1,GIG,LIS,Ida e volta,2019-08-18 21:10:00,2019-08-28 12:05:00,4659.830078125,158000,1,0,2019-08,Wednesday,True,1,Transacao emitida,GIGLIS,0
43,2019-08-05,2,YYZ,GIG,Somente ida,2019-08-19 15:44:00,,1253.86999511718,38000,1,0,2019-08,Monday,True,1,Transacao cancelada,YYZGIG,1
44,2019-08-17,1,BCN,GIG,Somente ida,2019-08-19 18:50:00,,1700.27001953125,45500,1,0,2019-08,Saturday,True,1,Transacao emitida,BCNGIG,1
45,2019-08-16,2,BCN,GIG,Somente ida,2019-08-19 18:50:00,,1700.15002441406,45500,1,0,2019-08,Friday,True,1,Transacao cancelada,BCNGIG,1
46,2019-08-16,3,EZE,GIG,Somente ida,2019-08-20 02:45:00,,1653.78002929687,41000,2,0,2019-08,Friday,True,2,Aguardando forma de pagamento,EZEGIG,1
47,2019-08-13,2,EZE,GIG,Ida e volta,2019-08-20 02:45:00,2019-09-01 06:15:00,1306.43994140624,32400,1,0,2019-08,Tuesday,True,1,Transacao cancelada,EZEGIG,1
48,2019-08-18,3,GIG,MCO,Ida e volta,2019-08-20 06:30:00,2019-08-31 15:05:00,4437.97021484374,0,1,0,2019-08,Sunday,False,1,Aguardando forma de pagamento,GIGMCO,0
49,2019-08-15,1,GIG,LIS,Somente ida,2019-08-20 15:40:00,,2941.65991210937,99500,1,0,2019-08,Thursday,True,1,Transacao emitida,GIGLIS,0
50,2019-08-09,3,EZE,GIG,Somente ida,2019-08-20 17:15:00,,1419.73999023437,32400,2,0,2019-08,Friday,True,2,Aguardando forma de pagamento,EZEGIG,1
51,2019-08-09,3,EZE,GIG,Somente ida,2019-08-20 17:15:00,,1610.01000976562,32400,2,0,2019-08,Friday,True,2,Aguardando forma de pagamento,EZEGIG,1
52,2019-08-10,1,EZE,GIG,Somente ida,2019-08-20 17:15:00,,1609.25,32400,2,0,2019-08,Saturday,True,2,Transacao emitida,EZEGIG,1
53,2019-08-18,2,GIG,LIS,Somente ida,2019-08-20 19:10:00,,1681.43994140624,45500,1,0,2019-08,Sunday,True,1,Transacao cancelada,GIGLIS,0
54,2019-08-19,2,GIG,LIS,Somente ida,2019-08-20 19:10:00,,1562.7099609375,45500,1,0,2019-08,Monday,True,1,Transacao cancelada,GIGLIS,0
55,2019-08-12,2,SCL,EZE,Somente ida,2019-08-20 20:25:00,,1651.82995605468,82700,1,0,2019-08,Monday,True,1,Transacao cancelada,SCLEZE,1
56,2019-08-19,2,LIS,GIG,Somente ida,2019-08-21 16:30:00,,1620.53002929687,45500,1,0,2019-08,Monday,True,1,Transacao cancelada,LISGIG,1
57,2019-08-19,2,LIS,GIG,Somente ida,2019-08-21 16:30:00,,1618.51000976562,45500,1,0,2019-08,Monday,True,1,Transacao cancelada,LISGIG,1
58,2019-08-18,1,YYZ,GIG,Somente ida,2019-08-21 17:59:00,,1612.57995605468,40000,1,0,2019-08,Sunday,True,1,Transacao emitida,YYZGIG,1
59,2019-08-10,1,LIS,GIG,Somente ida,2019-08-21 23:00:00,,2660.76000976562,0,1,0,2019-08,Saturday,False,1,Transacao emitida,LISGIG,1
60,2019-08-19,2,GIG,BOG,Somente ida,2019-08-22 06:30:00,,2098.45996093749,0,1,1,2019-08,Monday,False,2,Transacao cancelada,GIGBOG,1
61,2019-08-19,3,GIG,BOG,Somente ida,2019-08-22 06:30:00,,2098.45996093749,0,1,1,2019-08,Monday,False,2,Aguardando forma de pagamento,GIGBOG,1
62,2019-08-14,1,YYZ,MIA,Somente ida,2019-08-22 16:30:00,,1202.64001464843,34000,2,0,2019-08,Wednesday,True,2,Transacao emitida,YYZMIA,0
63,2019-08-17,1,GIG,EZE,Somente ida,2019-08-22 19:30:00,,1136.88000488281,42000,1,0,2019-08,Saturday,True,1,Transacao emitida,GIGEZE,1
64,2019-08-17,2,GIG,MCO,Somente ida,2019-08-22 20:40:00,,9644.91992187499,0,2,2,2019-08,Saturday,False,4,Transacao cancelada,GIGMCO,0
65,2019-08-20,1,GIG,MCO,Somente ida,2019-08-22 21:05:00,,9339.759765625,0,2,2,2019-08,Tuesday,False,4,Transacao emitida,GIGMCO,0
